City,Datetime,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI
Ahmedabad,01-01-2015,40.01,36.37,,1,122.07,,0,0,0,
Ahmedabad,01-01-2015,27.75,19.73,,0.02,85.9,,0,0,0,
Ahmedabad,01-01-2015,19.32,11.08,,0.08,52.83,,0,0,0,
Ahmedabad,01-01-2015,16.45,9.2,,0.3,39.53,153.58,0,0,0,
Ahmedabad,01-01-2015,14.9,7.85,,0.12,32.63,,0,0,0,
Ahmedabad,01-01-2015,15.95,10.82,,0.33,29.87,64.25,0,0,0,
Ahmedabad,01-01-2015,15.94,12.47,,0.45,27.41,191.96,0,0,0,
Ahmedabad,01-01-2015,16.66,16.48,,1.03,20.92,177.21,0,0,0,
Ahmedabad,01-01-2015,16.25,18.02,,1.47,16.45,122.08,0,0,0,
Ahmedabad,01-01-2015,13.78,16.08,,2.05,15.14,,0,0,0,
Ahmedabad,01-01-2015,13.87,16.73,,2.27,14.12,99.17,0,0,0,
Ahmedabad,01-01-2015,12.87,14.63,,1.73,13.26,91.67,0,0,0,
Ahmedabad,01-01-2015,14.15,15.55,,1.72,17.2,95.92,0,0,0,
Ahmedabad,01-01-2015,15.74,17.62,,1.85,18.78,,0,0,0,
Ahmedabad,01-01-2015,15.94,16.18,,0.95,19.16,,0,0,0,
Ahmedabad,01-01-2015,17.28,18.32,,0.87,17.83,,0,0,0,
Ahmedabad,01-01-2015,19.04,20,,0.8,16.14,187.62,0,0,0,
Ahmedabad,01-01-2015,21.24,22.7,,0.47,11.93,,0,0,0,
Ahmedabad,01-01-2015,25.63,27.42,,0.53,14.99,,0,0.33,0,
Ahmedabad,01-01-2015,16.22,16,,0.47,13.66,187.42,0,0.23,0,
Ahmedabad,01-01-2015,16.5,17.52,,0.83,13.28,96.08,0,0,0,
Ahmedabad,01-01-2015,17.97,18.18,,0.85,12.23,,0,0,0,
Ahmedabad,01-01-2015,15.52,15.4,,1.08,10.5,,0,0,0,
Ahmedabad,02-01-2015,14.84,13.53,,0.6,9.12,,0,0,0,
Ahmedabad,02-01-2015,11.91,8.87,,0.18,12.95,,0,0,0,
Ahmedabad,02-01-2015,12.54,12.23,,0.35,11.65,23.75,0,0,0,
Ahmedabad,02-01-2015,12.56,11.55,,0.18,9.02,,0,0,0,
Ahmedabad,02-01-2015,10.15,8.52,,0.17,8.84,,0,0,0,
Ahmedabad,02-01-2015,9.31,8.17,,0.18,9.33,,0,0,0,
Ahmedabad,02-01-2015,12.18,12.87,,0.87,7.03,,0,0,0,
Ahmedabad,02-01-2015,13.15,14.4,,0.9,7.42,,0,0.63,0,
Ahmedabad,02-01-2015,13.69,14.82,,1.23,7.7,,0,0,0,
Ahmedabad,02-01-2015,14.06,15.35,,1.32,13.35,,0,0,0,
Ahmedabad,02-01-2015,14.15,16.28,,1.65,19.15,,0,0,0,
Ahmedabad,02-01-2015,12.28,14.23,,1.58,27.8,,0,0,0,
Ahmedabad,02-01-2015,12.26,13.22,,1.35,23.92,,0,0.08,0,
Ahmedabad,02-01-2015,12.12,12.17,,1,22.2,,0,0.1,0,
Ahmedabad,02-01-2015,12.78,13.35,,1.17,14.74,,0,0,0,
Ahmedabad,02-01-2015,12.69,12.48,,0.58,14.94,47.62,0,0,0,
Ahmedabad,02-01-2015,11.29,11.28,,0.67,18.26,41.25,0,0,0,
Ahmedabad,02-01-2015,18,19.9,,1.5,20.52,,0,0,0,
Ahmedabad,02-01-2015,19.72,21.33,,0.7,118.9,,0,0,0,
Ahmedabad,02-01-2015,31.08,36.07,,2.12,5.05,54.5,0,0,0,
Ahmedabad,02-01-2015,15,,,,19,,,,,
Ahmedabad,02-01-2015,33.96,39.53,,3.26,30.94,5.38,73.49,80.39,73.36,
Ahmedabad,02-01-2015,24.29,26.3,,0.43,57,9.88,6.82,31.88,9.03,
Ahmedabad,02-01-2015,22.6,22.18,,0.27,100.44,56.04,4.35,13.5,4.35,
Ahmedabad,03-01-2015,18.38,15.88,,,47.45,56.17,3.73,5.93,0.63,
Ahmedabad,03-01-2015,15.47,10.37,,,28.78,18.79,2.45,3.58,0,
Ahmedabad,03-01-2015,10.48,9.1,,,24.32,18.83,2.43,2.87,0,
Ahmedabad,03-01-2015,15.01,9.65,,,29.06,16.79,2.33,2.98,0,
Ahmedabad,03-01-2015,12.7,8.5,,,30.32,17.5,1.22,1.92,0,
Ahmedabad,03-01-2015,11.67,8.57,,,29.23,17.71,1.95,1.65,0,
Ahmedabad,03-01-2015,11.33,9.73,,0.02,17.28,16.17,2.48,1.88,0,
Ahmedabad,03-01-2015,14.03,15.25,,1.18,19.36,11.04,3.88,2.82,0,
Ahmedabad,03-01-2015,16.28,20.33,,3.48,17.25,8.42,6.7,4.98,0,
Ahmedabad,03-01-2015,15.15,18.88,,3.47,25.97,10.46,7.77,7.32,0,
Ahmedabad,03-01-2015,17.47,23.13,,4.77,57.34,14.58,6.65,9.02,1.02,
Ahmedabad,03-01-2015,13.55,15.32,,1.43,50.65,22.12,5.05,9.72,0.82,
Ahmedabad,03-01-2015,12.45,12.68,,0.63,25.07,33.75,3.52,7.32,1.58,
Ahmedabad,03-01-2015,13.32,12.03,,0.03,22.41,42.21,3.27,8.47,1.18,
Ahmedabad,03-01-2015,10.82,8.63,,,27.6,59,2.92,8,0.35,
Ahmedabad,03-01-2015,10.91,8.83,,,24.82,69.71,2.23,4.75,0,
Ahmedabad,03-01-2015,14.29,12.98,,0.1,27.98,71.46,2.83,8.52,1.27,
Ahmedabad,03-01-2015,13.15,12,,0.03,26.63,69.88,3,9.85,1.45,
Ahmedabad,03-01-2015,15.7,15.23,,,20.72,63.83,2.25,6.3,0.4,
Ahmedabad,03-01-2015,31.88,34.35,,0.08,23.7,31.38,3.92,11.33,0.88,
Ahmedabad,03-01-2015,39.19,48.77,,5.5,20.53,17.67,7.9,21.42,3.22,
Ahmedabad,03-01-2015,40.96,87.72,,42.32,35.32,16.88,17.18,38.27,5.83,
Ahmedabad,03-01-2015,48.06,173.43,,120.98,37.95,17.38,35.27,109.38,17.3,
Ahmedabad,03-01-2015,41.03,121.37,,77.03,27.84,14.96,32.18,105.43,18.02,
Ahmedabad,04-01-2015,35.33,59.5,,22.08,15.15,12.29,17.53,69.85,11.42,
